Title,Director,Popularity
At Play in the Fields of the Lord,"Babenco, Hector",81.0
Crazy People,"Bill, Tony",61.0
Memoirs of an Invisible Man,"Carpenter, John",58.0
"Clan of the Cave Bear, The","Chapman, Michael",73.0
"Final Terror, The","Davis, Andrew",24.0
Reckless,"Foley, James",14.0
High Spirits,"Jordan, Neil",53.0
Roxanne,"Schepisi, Fred",66.0
Blade Runner,"Scott, Ridley",1.0
Wall Street,"Stone, Oliver",6.0
Pope of Greenwich Village,,58.0
After School,,59.0
Flaming Frontiers,"Taylor, Ray",82.0
Libeled Lady,"Conway, Jack",86.0
Inserts,"Byrum, John",85.0
"Blue Iguana, The","Lafia, John",65.0
Tender Mercies,"Beresford, Bruce",61.0
Nights in White Satin,"Barnard, Michael",5.0
Videodrome,"Cronenberg, David",36.0
Intimate Stranger,"Holzman, Allan",23.0
Highlander,"Mulcahy, Russell",8.0
Bodycount,,51.0
Tango & Cash,"Konchalovsky, Andrei",9.0
There's a Girl in My Soup,"Boulting, Roy",41.0
Swing Shift,"Demme, Jonathan",81.0
Foul Play,"Higgins, Colin",46.0
Best Friends,"Jewison, Norman",74.0
Butterflies Are Free,"Katselas, Milton",82.0
Overboard,"Marshall, Garry",6.0
"Girl from Petrovka, The","Miller, Robert Ellis",23.0
Housesitter,"Oz, Frank",14.0
Wildcats,"Ritchie, Michael",22.0
Protocol,"Ross, Herbert",53.0
Seems Like Old Times,"Sandrich, Jay",49.0
"Sugarland Express, The","Spielberg, Steven",28.0
Private Benjamin,"Zieff, Howard",61.0
Deceived,,55.0
Arrowsmith,"Ford, John",84.0
Say Goodbye Maggie Cole,"Taylor, Jud",84.0
Circus World,"Hathaway, Henry",29.0
Affair in Trinidad,"Sherman, Vincent",49.0
Lady from Shanghai,"Welles, Orson",16.0
Lady in Question,"Vidor, Charles",57.0
Gilda,"Vidor, Charles",57.0
"Loves of Carmen, The","Vidor, Charles",48.0
Dick Tracy,"Beatty, Warren",84.0
Marnie,"Hitchcock, Alfred",2.0
Hot Child in the City,"Florea, John",0.0
Johnny Dangerously,"Heckerling, Amy",3.0
Stark,"Holcomb, Rod",27.0
Three Strange Loves,"Bergman, Ingmar",87.0
My Fair Lady,"Cukor, George",10.0
"Unforgiven, The","Huston, John",32.0
Robin & Marian,"Lester, Richard",6.0
"Children's Hour, The","Wyler, William",60.0
"Rainmaker, The","Anthony, Joseph",21.0
